priority,category,subCategory,adobeScore,adobeWeightP,salesforceScore,salesforceWeightP,,
26%,Data,Interoperability,4,1.054285714,4,1.054285714,0,
26%,Data,Transformations,5,1.317857143,5,1.317857143,0,
26%,Data,Encryption,5,1.317857143,5,1.317857143,0,
26%,Data,Data Governance,5,1.317857143,4,1.054285714,1,
26%,Data,Unified Profiles,5,1.317857143,5,1.317857143,0,
31%,Decisoning,Interoperability,5,1.5375,4,1.23,1,
31%,Decisoning,Data Latency,5,1.5375,4,1.23,1,
31%,Decisoning,Real-time Responsive Journeys,5,1.5375,5,1.5375,0,
31%,Decisoning,Customizable Scoring Models,4,1.23,5,1.5375,-1,
31%,Decisoning,Next Best Action,4,1.23,5,1.5375,-1,
12%,Distribution,Interoperability,5,0.59516129,5,0.59516129,0,
12%,Distribution,Omni-Channel,5,0.59516129,3,0.357096774,2,
12%,Distribution,Dynamic Content,5,0.59516129,3,0.357096774,2,
12%,Distribution,Campaign Management,5,0.59516129,4,0.476129032,1,
12%,Distribution,Experimentation with Automation,4,0.476129032,4,0.476129032,0,
12%,Distribution,Send Time Optimization Email,4,0.476129032,4,0.476129032,0,
21%,Measurement,Customer Analytics/Monitoring,5,1.054285714,5,1.054285714,0,
21%,Measurement,Channel Analytics/Monitoring,5,1.054285714,5,1.054285714,0,
21%,Measurement,Data Latency,4,0.843428571,4,0.843428571,0,
10%,Marketer Experience,Interoperability,5,0.520384615,4,0.416307692,1,
10%,Marketer Experience,Campaign Management,5,0.520384615,4,0.416307692,1,
10%,Marketer Experience,Resource Management,5,0.520384615,4,0.416307692,1,
10%,Marketer Experience,Communication and Collaboration Tools,4,0.416307692,3,0.312230769,1,
